taxonID,description,type,language
alien-fungi-portugal:taxon:34ce5f9601fc24c569d68a6e0dc68559,Tropical and subtropical regions of the world,native range,en
alien-fungi-portugal:taxon:4124db2cb86d7d7d2f746689471a842b,Australia,native range,en
alien-fungi-portugal:taxon:45c9da42daff6c0c654564bf15ebb9c6,Australia,native range,en
alien-fungi-portugal:taxon:4b1c3c29333bdc4f7646aa7c20b20a29,Australia and New Zeland,native range,en
alien-fungi-portugal:taxon:4bc6063bbe08a9a9f0961a060c2c9327,North America,native range,en
alien-fungi-portugal:taxon:52649f629ee7cb940edc8fa20b9951c4,Eastern Asia,native range,en
alien-fungi-portugal:taxon:72f0b401ce5cf8c748b0ef8992343745,Australia,native range,en
alien-fungi-portugal:taxon:8d8622d1a41db21f5509af18175eee9d,Australia and New Zeland,native range,en
alien-fungi-portugal:taxon:ab0c06d84438569d9cf363c4487543d3,Australia,native range,en
alien-fungi-portugal:taxon:e0a5b0b172f76cec5e1c81295df9f89a,Eastern Asia,native range,en
alien-fungi-portugal:taxon:e4938d18d7b55c89e1ab8834e9ebc3c9,Australia,native range,en
